Designator,Footprint,Quantity,Value,LCSC Part #
"10K1, 10K2, 10K3, 1K1, 4.7K1, 4.7K2",0603,6,R_Small,
"1UF1, 1UF2, 1UF3, 1UF4, 1UF5, 1UF6, 27PF1, 27PF2",0603,8,C_Small,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D22, D24, D27, D29, D3, D31, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,25,WS2812B-2020,
D26,0603,1,LED,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06,
J3,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J4, J5",PinSocket_1x08_P2.54mm_Vertical,2,Conn_01x08,
J6,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"R1, R2",0603,2,5.1K,
"SW1, SW2",SW_Push_1P1T_NO_CK_KMR2,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U3,SOT-23-5,1,AP2112K-3.3,
U5,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,
